kata,sinonim
sami,"saluyu,saragam,saules"
wangkid,dugi ka
keser,pirak
kantun,"nyesakeun,tilas"
teu aya,seweng
caroge,tuang raka
tamu,tatamu
sampean,dampal
serat,tetesan
tanwande,tangtu
tasma,kacamata
deuleu,"tempo,tenjo,nenjo,neleu,deleh"
tukeur,hili
kawitna,awitna
tarima,tampi
ping,kaping
taar,dahi
tawis,pundut
tingal,"tingali,ningal"
pengker,pungkur
antos,dago
teku,dengkul
entong,ulah
utah,ongkek
kaguguran,kaluron
poko,"perlu,penting,utami"
waras,cageur
warta,kabar
kenal,wanoh
badag,gede
aneh,aheng
alung,"balang,baledog,mengpar,piceun"
alus,hade
bendu,wera
amis,kareueut
anak,budak
murangkalih,putra
angkeng,cangkeng
angkeub,ceudeum
angkeut,gado
anyar,weuteuh
artos,duit
asin,molelel
atanapi,atawa
tutur,"wejang,wuruk"
pitutur,"piwejang,piwuruk"
atra,"jatra,eces"
awi,haur
babaturan,balad
bageul,teuas
bantal,kanjang mastaka
awis,awis-awis
bade,seja
awit,kawit
sawios,"teu sawios,wios"
lulur,pupur
bawiraos,ku emutan
langsip,langsit
lambut,patuangan
paparinkeun,pasihkeun
haturkeun,"lelerkeun,sanggakeun"
lambe,lambey
buru,enggal
obeh,ombeh
nangis,tangis
disaur,diulem
dudukuy,topi
langgukan,tudung
pajuaran,pangkuleman
hapunten,"haksama,haksami"
rejag manah,salempang
bobos,kabobosan
iket,totopong
enjing,enjing-enjing
anging,jabi
sapertos,"sakarupi,sarupi"
kalintang,teu kinten
kalangen,"kaseneng,kasedep"
maparin,"ngahaturanan,ngaleler"
mupakat,rempug
kulem,ngawengi
ngestokeun,tumut
obat,ubar
kedal,lisan
ngalelet,"nyesep,sesep"
aji,ngaji
aku,ngaku
ambeh,"supaya,sangkan"
ambe,ngambeu
amit,amitam
anggeus,enggeus
anjang,nganjang
aso,ngaso
bareng,reujeung
bener,enya
bengek,mengi
caram,carek
carang,langka
eling,inget
gardeng,reregan
gogoda,cocoba
hampura,maap
impi,ngimpi
inum,nginum
kabur,minggat
kacida,naker
kajeun,keun bae
kari,tingggal
kasakit,nyeri
katara,kaciri
kapalang,kagok
kejo,sangu
kop,pek
lamun,upama
malarat,miskin
mangka,"sing,muga"
najan,sanajan
pangkat,kadudukan
roko,udud
soara,sora
teleg,teureuy
tulung,pitulun
warga,dulur
nguping,mireng
marhum,jenatna
wulu,wudu
angken,ngangken
leueut,ngaleueut
pupus,tilar dunya
mirak,ngeser
mulih,uih
balong,"empang,kulah,leuwi"
bancet,buyur
baseuh,"cipruk,jibreg,rancucut"
bayeungyang,"hareudang,kareunang"
bayuhyuh,"lintuh,bureuteu"
beak,"ledis,ludes"
bebene,kabogoh
beha,kutang
beke,pendek
belegug,"belet,bodo,boloho,tolol"
bengkok,bengkung
beuheung,tengek
beuleum,duruk
binangkit,motekar
hees,sare
bujangan,"jajaka,bujang"
gelo,"edeg,teu eucreug"
cabok,"gampleng,tampiling"
cadu,pantrang
calakan,"getol,hideng,ulet,pinter,maher,lihay,tekun"
cangcang,cangked
carang,carengcang
carios,"carita,hikayat,dongeng"
cawet,kolor
cekap,euleum
coplok,"lesot,leupas"
cunihin,purunyus
damar,"lilin,palita,cempor"
dangdan,"ngaluis,dangdos,luis"
danget,"heuleut,mangsa"
darehdeh,someah
duka,"teu terang"
eleketek,keleketek
gancang,"geuwat,cepet"
entog,meri
etang,wilang
gabrug,kerekeb
gajih,lemak
