kata,sinonim
panghareupna,pangpayunna
derma,sidekah
nu berehan,tukang derma
desa,"dusun,kampung"
padesaan,padusunan
kasedek,kadeseh
beungkeut sirah,sorban
dewasa,sawawa
panyakit gula,diabetes
cicing-cicing,"rerencepan,susulumputan"
damar,"lilin,palita,cempor"
sideang,siduru
ngadidik,ngatik
nu ngadidik,"nu ngatik,guru"
saeutik,sakedik
dingding,pipinding
tiis,"tiris,tiuh"
niiskeun,niriskeun
katiisan,katirisan
direktris,direktur
dirgantara,"langit,awang-awang"
awak,"badan,raga,badan"
nangtung,ngadeg
nangtungkeun,"ngadegkeun,ngawangun"
nyiram,nyebor
tigin,"taat,tuhu kana peraturan"
wungkul,"ngan,ukur"
dobel,rangkep dua
landung,ngoyondon
tanggah,ngadangheuak
kasurungkeun,kajurung
resep pisan,beuki
duaan,paduduaan
ngadiukkeun,nyalikeun
ngaduga,"nyangka,ngira-ngara"
kaduka,bisa disangka
sedih,susah
kasedih,kasusah
lembur,"pakampungan,kampung,desa"
ngadukung,ngarojong
dukungan,rojongan
bodo,"tolol,belet"
duren,kadu
durjana,jelma jahat
duta,utusan
ngabring,ngaleut
ngurilingkeun,ngideran
akibat,"pengaruh,ngiringan,miluan"
egois,hawek
ngabuntut,nuturkeun
tilas,"sesa,urut,tilas,potongan,tapak"
sari,"cipati,inti"
nyingcet,"nyingkahan,ngahindar"
heulang,alap-alap
ngumbara,ngalalana
baramaen,jajaluk
ngasuh,"ngaping,ngajaring,ngatik,ngabingbing"
nyempret,ngarengket
bendungan,tebat,tambak
ngagelom,ngolomoh
ngangkat,"ngaluarkeun,nyadarkeun,nalipak"
arti,"makna,harti"
hiji,esa
isuk,isukan
aki,"abah,embah"
paedah,"guna,kasiat,mangpaat,gunana"
palak,palintangan
palasipah,pilsapat
hukum islam,patwa
pileg,salesma
poto,potret
rasa kuciwa,reutas
ribut,gandeng,rame
riributan,kakacowan
kuat,"rosa,rongkah,pengkuh,teguh,weduk,baal"
ngagagalkeun,ngabolaykeun
aga-eugeu,ngatog
gaib,"goib,sihir,tenung"
gajih,"buruh,pangasilan"
riwuh,paciweuh teu puguh
tetela,"eces,jelas,teges"
gampang,babari
gangas,"galak,kejem,bengis,telenges"
meuweuh,ngagalaksak,mahabu
kali,lipet,rangkep
ngalipetkeun,rangkep-rangkep
ngaganggu,ngagoda
gagah,kasep
ganti,"genti,gentos,pindah,robah,hijrah,ngalih"
ngagantung,ngagawing
haransi,jaminan
ngagarap,migawe
gurat,garis
ngagaris,ngagurat
garing,rampog
campur,gaul
gayung,siwur
rurusuhan,"gagancangan,buru-buru,geuwat,gancang,rusuh"
tanda-tanda,alammat
geulang,pinggel
gideug,godeg
gogodeg,gigideug
nyorosot,nyorodot,lingsir
ombak,galura
karesep,pangaresep
gemes,geregetan
kagumbiraan,kabungahan
ngadegdeg,ngageter
cicing bae,nagen
ibur,gehger,guyur
nyerang,narajang
jangkep,lengkep
nyaian,ngeueum
neregteg,terus-terusan
akod,ais,gandong
ngakod,ngais,ngagandong
akodan,aisan,gandongan
genggem,keupeul
ngagenggem,ngeupeul
kagenggem,kakeupeul
genggeman,keupeulan
gengsi,"martabat,pinter,calakan,maher,lihay"
sieun,"miris,inggis,ngeri"
lengkeh,bahaya
kenteng,genteng
obah,"usik,gerak,oyag,goncang"
ngobahkeun,ngusikeun
cumpu-campa,"rumpu-rampa,gagarayaman"
kaca-kaca,gaoura
murupuy,gerimis
ngagesrek,gagasah
ngageser,ngesed
geutah,leugeut
gigolo,pamacek
ngageleng,ngagiles
kageleng,kagiles
giliran,gentian
gingsul,karehol
ginjel,kabungbuah
global,sagemblengna
golok,bedog
gunta-ganti,guntas-gentos
gorong-gorong,hong,saluran cai
tatabasa,aturan basa
grogi,rampang-reumpeung
grup,kelompok
kageuing,kahudangkeun
kaguguran,kaluron
guna-guna,pelet,teluh
gundu,kaleci
gundul,bitak,dugul
ngagundulan,ngabotakan
kekemu,ngagurah
oconan,luluconan
paguron,paguruan
guruh,"guludug,petir"
ngabanjur,nyiram
seep,"beak,ludes"
nyeepkeun,meakkeun
seepeun,kabeakan
hadiah,"ganjaran,katineung"
teunggeul,gebug
neunggeul,ngagebug
teunggeulan,gebugan
ngusir,ngagebah
nu ngusir,nu ngagebah
arah,tujuan
boga arah,boga tujuan
ngahambat,ngahalangan
kahambat,kahalangan
gabug,"kosong,hapa,bajir,lowong"
ngampar,ngabentang
ampir,"deukeut,meh"
ancur,"remuk,bubuk"
hangar,hanggar
ngahapus,mupus
panghapus,pamupus
boga harga,"mahal,awis"
harkat,kahormatan
kudu,"wajib,misti,kedah"
ati,hati
narik,metot
irit,"gemi,rikrik"
sepi,tiiseun
eureun,liren
heran,"kaget,helok,reeus,kataji"
hias,paes
hiasan,"paesan,nisan"
mere,"nyumbang,mikeun"
irung,pangambung
pacabakan,pagawean
pamisah,"batas,wates"
leungit,"ical,musna"
kumpul,kempel
ngingkah,"ngaleos,nyingkir"
nepi,dugi
itung,"etang,wilang"
itungan,balitungan
hormat,"ajen,harga,kualitas"
ngahormat,"ngajenan,ngahargaan"
sirah,"mastaka,kapala"
ngalugas,ngacungkeun
karusuhan,kaributan
hurup,aksara
hutang,sambetan
manehna,anjeunna
karunya,watir
ngiket,meungkeut
ihlas,rido
ngaihlaskeun,ngaridokeun
kaihlasan,karidoan
jangji,ikrar
milu,ngiring
ngajakan,mawa
imam,pamingpin
iman,"percaya,yakin,pasti"
jalir,sulaya
lehoan,umbelan
suntik,injeksi
insap,sadar,eling
nyadar,nyadarkeun,nginsapkeun
jelema,"jalma,manusa,jalmi"
iringan,aleutan
nyiksik,siksikan
istana,karato
jadi,janten
jaga,jagi
jagad,dunya
ngaput,ngajait
kaputan,jaitan
tukang ngaput,tukang jait
nyoba,ngajajal
jalang,bangor
ngarayap,ngarambat,ngarembet
nguntun,nganyam
jam,beker
nyabak,ngarampa
kacabak,karampa
cabakan,rampaan
jamak,"lumrah,teu aneh"
jamban,kakus
tamu,semah
ngajamu,nyuguhan
suungan,supaan
ngaranda,rarandaan
rieut,"puyeng,lieur"
nular,nepa
katularan,katepaan
bakal bayi,utun inji
jalu,jago
ngarampas,"ngarebut,ngajabel"
jarang-jarang,carang-carang
ramo,rema
jaruman,aya jarumna
murag,"ragrag,labuh"
ninggang,ngaragragan
labuh,geubis
katinggang,karagragan
jauh,tebih
jawab,"tembal,walon"
jaya,unggul
ngajebak,mikat
kajebak,kapikat
jebakan,pamikat
hanjeli,sele
geulis,"denok,demplon"
jemput,papag
ngajemput,mapag
nu ngajemput,nu mapag
sakeudeung,"sakedap,sakolepat"
mayit,layon
ngalongok,"ngalayar,ngalieuk"
rupa,maem
eurad,jiret
tikusruk,tigebrus
ngusrukkeun,nyilakakeun
jidar,garisan
geuleuh,jiji
letak,lamot
jilbab,tiung
nu ngalilindeuk,pawang
ngajiplak,"niron,neplak,niru,nyonto,tulad,nurutan,jiplak"
nu ngajiplak,nu niron
jetu,"matih,cespleng,manjur"
jompo,kolot pisan
jongko,lapak
ngajual,ngical
kajual,kaical
nu ngajual,nu ngical
bajuang,bajoang
juara,meunang
teleng,deleng
jumlah,jumblah
panggih,"tepang,pendak"
manggihan,nepangan
kaca,eunteung
kacapanon,"tasma,kacasoca"
ngaca,ngeunteung
kadang-kadang,"sakapeung,kalankalan"
kaget,reuwas
ngagetkeun,ngarerewas
lanceuk,raka
kakatua,ekek
suku,sampean
jeger,heuras
eleh,kawon
kalajengking,"langgir,babakaur,kalabang"
kalangan,kaom
kalap,ngamuk
kalimah,kecap
kusut,kacow
kanceuh,jadi deui
kerem,titeuleum
sabab,lantaran,margi
kasbon,nganjuk
pasualan,kasus
batur,sobar,mitra
kakaian,kakayon
kacambah,toge
kuciwa,hanjakal
leutik,"alit,campernik"
langgeng,"abadi,tetep,angger"
pasea,"gelut,pasalia,cekcok,pasea,parearea omong"
kelap-kelip,pating kelip
kalilipan,kapeureumpeunan
kaliru,"lepat,salah"
kumpulan,paguyuban
ngurus,miara
halodo,katiga
jaga,engke
ngemut,ngenyot
keuna,beunang,kenging
kahampangan,kiih
hajat,salametan,sukuran
mareg,seubeuh
gebeng,gebing,ipis
kempit,capit,dempet
peledug,kelun
meledug,ngelun
monyet,kunyuk
kerah,samleh
karanda,pasaran
boncel,kate
karinget,kesang
kesel,jengkel
seuseut,keusrak
nalika,"waktu,saat,mangsa,tempo,wanci"
ketua,kokolot
has,"husus,istimewa"
ngahayal,ngalamun
kijang,uncal
medit,kumed,koret
ngalediskeun,"ngaleungitkeun,ngamusnakeun"
ayeuna,kiwari
ngipas-ngipas,gegeber
ngipasan,ngageberan
kira,kinten
kenca,kiwa
komentar,"tanggepan,tapsiran"
kongkret,"nyata,bukti"
pasanggiri,"perlombaan,saembara"
kota,dayeuh
benteng,rengrengan
kubur,pemdem
bangbara,nyiruan
cepil,ceuli
kurang,kirang
kucel,"surem,teu marahmay,pucet,pias,reyem-reyem"
bati,"untung,munjur"
ngalacur,ngajual diri
ublag,ungkluk
huma,"kebon,sawah"
paripolah,"tingkah,kalakuan,sikep"
deui,deuih
medalkeun,"ngababarkeun,nerbitkeun"
lain,"sejen,sanes"
bujang,jajaka
ngabujang,lalajangan
ngalaksanakeun,"ngalakukeun,milampah,migawe"
geus dipigawe,"geus dilaksanakeun,geus lumangsung"
taledor,"lalawora,gagabah"
lila,"heubeul,lami"
ngalamar,"nanyaan,narosan"
ngagupayan,ngadadahan
laun,"lengle,alon,anca"
lambang,"tanda,simbul"
lencop,neros
langka,arang
langsing,"lenjang,jangjing,lengkeh"
ngalantik,ngistrenan
ngalantur,ngaco
nu dicarek,nu dicaram
sangsara,"malarat,miskin"
laris,"payu,pajeng"
ngabodor,"ngabanyol,ngalucu"
ngalayanan,ngaladenan
ilahar,"lumrah,biasa,lajim"
leuwih,"langkung,tambah"
kaleuwihan,kalangkungan
ngaleuwihan,ngalangkungan
ajur,leyur
ngaleyurkeun,"ngancurkeun,ngaremukkeun"
ngabeledug,ngajegur
legal,"sah,resmi"
cape,"lungse,ripuh,parna,lesu"
matak cape,nyapekeun
lemak,gajih
ngalungkeun,ngabalangkeun
lengket,rapet
jerit,koceak
lisung,halu
nenjo,"neuleu,ningal"
nenjoan,"ningalian,nenjoan"
katenjo,"katingal,katempo"
liontin,gagantel
ngalipet,nilep
tempatan,lokal
lokasi,tempat
lokomotip,hulu sepur
locot,"leupas,coplok"
lonceng,kereneng
mudal,leber
liang,lobang
ngaliangan,ngalobangan
lembut,ancur pisan
beye,hipu
ngabeyean,ngahipuan
ngabeyekeun,ngahipukeun
ngahilapkeun,mopohokeun
lurah,kapala desa
tuur,"dengkul,teku"
macet,magol
madat,candu
nyandung,ngawayuh
sembrani,persani,parasani
ngaulinkeun,ngahereykeun
sapaulinan,batur ulin
kuburan,astana,makam,pajaratan
dikuburkeun,dikurebekun,dimakamkeun
sasarap,mumuluk
taruang,bancakan
makbul,dikabul
ngabulkeun,nedunan
makelar,calo
ngaharti,ngandung makna
maksud,maksad
peuting,wengi
sapeuting,sawengi
"cilaka,sial,marabahaya,kacilakaan"
rarangan,larangan,memek,kontol,momok,kanjut
gayem,capek
ngagayem,nyapek
mancung,bangir
ibak,mandi,siram
junub,adus
ngibakan,ngamandian
mangkir,teu datang
pejuh,cipejuh
tipu,jieunan
manteb,mantep
minantuan,boga minantu
nandaan,mere tanda
samangsa,sawaktu
olah,masak
sual,"perkara,masalah,hal,perihal"
masih,masing
hare-hare,napsi-napsi
panon,soca
