Emotion,Text
joy,alhamdulillah bungah persib juara wilujenggggggg
sadness,innaalillaahi wainna ilaihi roojiuun mugi2 di paparin ka tabahan manahna di salametkeun jiwana sadayana sareng mugi sabar nampi kana musibah ieu
joy,pelem dibubur make gula aren lezat tur nikmat
anger,eh anying sia goblog pagi performa rusak anying gusti allah nu agung tah tingali sia anying goblog bagong jadi 66 dari 100 ah si tolol kalakuan siga dajjal apal aing ge sia loba duid tapi tong kitu anying kehed lah
anger,ngajaredog heula tangkurak sia urang kota mon tong sok ngalobakeun acara heula 
fear,tos di bumi meuni asa hariwang uwih we atuh
fear,can wani ah bisi gagal euy tadi ge ngadegdeg sieun jol pareum
fear,rame tapi serem pisan ngareuwaskeun ngadegdeg nonton gih bareng si sarpoah
joy,tadi sekarang baru ngerti kenapa siang bilang amanlah masih deket ke jkt nuhun teteh nuhun kang emil nuhun jabar meuni bungah terharuuu
sadness,sedih pisan 2x45 full di tribun nangtung timur pang luhurna pdhal meli tiket sarua siga batur tp teu menang korsi pasedek sedek
anger,lamun kieu mh gs cenderung membahayalan keselamatan tim atuh punten wee manajemen
joy,kirang naon gusti allah mah oge dua bulan nembe damel di jakarta atos dipangmasihan keun jalan ngarah tiasa uih ka garut langkung gampil hatur nuhun gusti
joy,alhamdulillah hade pisan boga gubernur teh euy 
anger,nying apal rencana indung sia ge nyieun beunget sia rencana saling colok goblog kakarek jadi babangus sia ngan hanjakal gagal jd jalma bahan cakcak sia mah kalah jd manusa
anger,tong ngabangus bisi didagor ku aing samaruk aing sieun ku anu leuwih gede ti aing dina fb
anger,ya gusti abdi kudu kumaha euy ieu kumaha tiasa abdi euy atuh tulungan pls lah anying kunaon bisa kieu atuhhhh keheeed hese tatadi ieu teeh coeg aing hese pisan
anger,di imah biasana nu hese bebel teu daek cicing teh rata lalaki siga nu kuat wae eta imun lamun geuring weh minta tulungan na ka awewe cing athu para lalaki ngajedok di imah ulah bikin ripuh
joy,alhamdulillah ngiring bingah ningali anjeunna tos seperti biasa nuhun gusti
anger,ari jadi jelma ulah sok balaga bisi teu boga baraya
sadness,di imah sarap sia goblog lain nga jedog nararongki rujit aing nempona ge di bejaan alus nya kumaha aing atuh neng hirup hirup aing enyaa a hidup sia tapi mun sia maot gara gara korona ge kabeh ripuh kehed meuni teu ngarti ngarti sedih aing
anger,sia mah ngomong teh pisangsaraeun anjing pisan jelema teh sia mah omongan aing teu didenge jdi wae hutang ngalobaan anjing edan bodo tpi kudu wae diturut pendpat na teh pas jdi loba hutang nylahkeunna ka aing kan goblog 
anger,yaudah paeh aja ribet pisan hirup teh ah
fear,pa nasib orang pasar kumaha sy icalan di pasar induk caringin bandung seueur nu panik teu sakedik oge nu nyebar hoax pasar bade ditutup sementara teu paruguh kieu bade icalan sieun ku covid 19 teu icalan asa piraku kitu pa
joy,ya allah gawe meuni bahagia ayeuna mah aya nu perhatian thank god
anger,someah anjing someah isuk nyien aing kehel apa perlu iye tukang bubur ku aing kadek
joy,berkah dari corona udara kotor jadi kurang pisan alhamdulillah menghirup udara sehat lihat si adit alus si eta dina transport jadi ka lingkungan emang berkesinambungan edannnn urang senang juga sebagai pesepeda abal abal yang mencari konten sg eh banyak yang ngikut sukakkkk 
anger,ribet si rek sahur ge kaburu lebaran anjeng
joy,alhmdllah bres lari pgi asa ku bingah ningal grbang situ buleud teu d segel almdllah nuhunpakpolisi
anger,nyiar nyiar pinapsueun peureup
anger,gera modar lah boga indung the ijid anjing n tibaheula aing ngadoa keun indung cing gera modar anjing jauh di hidup aing rugi
sadness,ari kieu teh sok inget ka kolot lamun inget kolot sok baper
sadness,nya prihatin siih tp kitu at pak bozz hapuntn abi tos kmh wntu
anger,ngajedogggg goblog di imah ni hese dibejaan na ai sia bebel pisan batur ge sarua anying hayang ulin mah da urang ge sarua hayang ulin mung gelo mereun nu ulin wae sakitu dipapatahan ku kolot ku medis ku pamarentah eta hulu atawa coet ni teuas kitu bagong
sadness,ya allah abdi sadrah sumerah abdi nyaah kaanjeuna 
anger,tangkurak sia kekey anjing pantes mereun sia kikituan
sadness,asli na da kaduhung mah ayna coba mun baheula diwaro mah adem ayem weh mreun nepi kaayeuna m0al aya pikiran
joy,kakara ayeuna persib eleh tapi hati tetep bungah optimis ningali permainan marake geutih kabeh
fear,haduh asa hariwang bki die bki nglunjak jdi asa mrasa bebas tp urg hawatir 
anger,rujit sia beunget sia siga takokak
joy,alhamdulillah ka xxi fcl abdi mah tiasa ka cgv miko tiasa tiasa ka xxi braga mantap slurrrr
joy,ngeunah seuri ngeunah seuri sareng barudak pat 01 mah hahaha alhamdulillah
sadness,4 taun sakola na karunya mah kaka kelas urang 7 taun sakola didinya hungkul watir 
sadness,di gateway subhanallah butut na si konate ge asa tega pisan teu inget bareto sok jumaahan bareng
joy,alhamdulillah seuri dei berkat teman teman haha
anger,ijid anjing boga babaturan kitu sosoan anjing 
fear,sieun di bully ku org ciawi ey mun keluyuran ngan ngaliwet ge dikira odp kamari
fear,asa hariwang nempo alam dunya kiwari geus hujan deui wae di bandung sebagian wilayah nju ka banjiran deuih
sadness,ngajerit hate ge ai hrp anger wae kieu mah btr mah apal jng bsa ngarasakeun
sadness,sing jadi perah tina perih ieu sib sing jd obat pil pait teh urng mh ukur bisa ngadoakeun sugan ari nu d nyerikeun mh d kabul ku gusti sing menang sing sumanget snjan ku batur d licikan hate mh ngajerit ninggali d kikitu ku batur teh
fear,punten bade naroskeun saklar lampu di taman lansia sareng taman cibeunying palih mana meuni keeung pararoek 
joy,asa bungah ningali si markus baihakki pablo cicing d bench hahahakan siah da maraneh mah butut maenna
sadness,meni asa saredih kieu puasa nggeusan sabulan deui ya alloh lah tambahan mun tiasa mah puasana bakal sono ngariung bada maghrib jeung genk sakuntala ditempat gawe bakal sono raeng na sora toa kunu tadarus bakal sono lelenggutan lamun keur sahur di masjid
joy,bungah datang wasa balik mendak bagja nu ditampik syukur kengeng munajat ti gusti kempel sareng kulawargi
fear,ieu aing asa hariwang asa adil anying lengitken pangarumasaan ieu gusti
anger,ku aing leyek aing geus sukses mah kabeh
anger,anjing pisan eta budak letik wani ka awewe si aniing setan budak haram hungkul kesel
joy,alhamdulillah goal deui nuhun gusti allah nuhun zulham zamrun 
sadness,inallillahi mudah an teu aya korban bener nya harta mah teu aya nanaonan dibanding kuasa alloh mah
joy,alhamdulillah si om etapi kalahkah seuri pas dibilang pd kangen di twitter
joy,alhamdulillah dianggap pemerintah jadi urang sugih
joy,ahhhhhh aing mah euy aya2 wae dewek rek sare malah ngabarakatak mac iyeu bubaaaar bubaaaaar
sadness,ayeuna bray jirim anjeun ngarongheap dipasieup imut nu ngaruntagkeun jajantung sajongjongan lelembutan kasirep teuteup nu teu weleh meungkeut kuring sumerah teu walakaya jadi tawanan nepi ka
anger,sok geura lamun ngomongkeun aing teh ulah ditukangeun aing laahh diharepeun komuk aing wee ambeh didagor kuaing
anger,ulah sok loba nada congor anu gampang diucapkeun ku babangus salira lobakeun mah laku lampah anu hade jang ka diri oge ka batur mikir mj
joy,ayeuna mah make sarung teh sok atoh naha nya embung weh muka sarung teh padahal di sunatan namah ti leutik keneh
anger,dear jelema anu hese dibejaan cik atuh anjir ngajedog weh di imah sateh tong nyiar nyiar panyakit kehed tong nambah gawean perawat rumah sakit anjir karunya sia nyaah ka awak sorangan hah ngajedog weh di imah lalajo india tah di antepe sinteron bawang bawangan
anger,sok gera datang atuh geus teu kuat hayang neungeul
fear,jalan nu wengi bade ka pangandaran ge nu pas bulak belok na mah asa keueung oge wa komo loba tangkal nu baradag mah
joy,alhamdulillah di masjid jami cibabat cimahi tiasa jumatan setelah berkeliling yg lain pd tutup waas pisan kang
fear,aduh teteh sy mah teu mudik ieu sieun dicap odp
sadness,aing ceurik lain nyengceurikan kaleungitan sia tapi ieu cara aing ngaikhlaskeun jelema nu pantes jang hirup aing nuhun goblog 
fear,keueung sih lamun bener komo lamun na pake umum ayena kan te terang pas naek kendaraan umum nyebar kanu sanes dinu sanes ka sebar hih te malikir jelema teh barelegug ka garut
sadness,matak sakapeung mh sok kaduhung aing te naha bet biasa nyaho kie mh aing moal ngucapkeun siga biasana asa nyeri hate wh kitu hehe mnding lah mun jelas sababna aing boga salah iemh ojol2 teu puguh
anger,gokar punteun buat yg pd nongkrong yg jalan2 gajelas punteun ieu mah ari sia goblog2 teuing sih sia terpapar korona di luar nu di imah ge beunang cik karunya ka diri sorangan teh gobloggg cicing heula saminggu mah dripda cicing di r isolasi teu kaluar2 sateh
fear,muriding bulu punduk ningali bmx kejurnas di kampung ladang
sadness,di bumi asa cuang cieung ari nyalira dede nju t dmang th hariwang t aya rencang pakumaha sok jug inget ka kolot ari kieu th
fear,ti sindanglaya tumben wayah kieu keneh macet ternyata di 24 banjir pareum listrik sarieun kieu
anger,demi na oge nyieun aral ieu maen goblog setan bagong
fear,anu kacirina sok senang senang bareng hreupeun urang oge di omongkeun tukangeun mah komo deui urang mereunan nya asa sarieun kieu 
fear,sumpah serem ninggal langsung mah
joy,mun aya nu nanya mah ceritana oge sambil seuseurian tuda lucu weh kitu meni bisa ka hipnotis kos kieu teu ayeuna nyangka
sadness,raheut manah tapi nyaah cicing salah tapi teu bisa ingkah 
sadness,jomblo pikawatireun tega aing ngabahas na ge
fear,meni pikasieuneun kitu nya kinten2 sabaraha minggu tah teu ibakna 
sadness,zaman ihh ni saredih ningali kidz now di tribun kalakuan na teh aneh2 perlu edukasi tingkat dewa ieu mah karunya
joy,alhamdulillah bingah ningal barudakna sareuri deui lalajo si tayo
anger,ninggali dulur di galey ku aing gera
fear,asa hariwang hirup ayeuna mah kang kitu salah kieu salah ceunah negara demokrasi tapi saeutikpun euweuh cirina 
sadness,ieu kuring naha janten hanjelu gara gara di chelsea parantos aya fabregas deui
sadness,hate asa nalangsa mun dicaritakeun mah
joy,nuhun pisan ieu ngeunah seuri bangsat
joy,nonton deui angger hayang seuri deui kumaha atuhnya da sekeluarga raresep ucing diditumah
joy,enjing hatur nuhun gusti nu tos maparin karunia ka abdi dina dinteun ieu mugi abdi kenging nu langkung sae aamiin
fear,hadehhhhh ibu2 malam malam kieu nyarios cerita dunia lain merinding atuh ni bulu kuduk sieun atuh 
anger,pelatih geus wani manajemen ngejedog keneh laina di dukung apa kummaha asa meningan si gw meski goblog tapi maneh na bebeakan ngabela tim jeung supporter na didieu mah kalem weh ngudud di caffe bari cing calengir bagong
joy,sumping ka majalengka passer bingah di pangkas rambut ningal na tiasa ka pendak sanajan sakedap
anger,yeeeh nya budak teh teu beunang pisan dibejaan geus heup geura uulinan na peperiheun kalah gering sateh nu balangsak teh lain sia hungkul bebel engke nepaan batur engke nyusahkeun sarerea kehed teh
sadness,di kosan euy ai gering sok sararedih jauh ti imah heg duit ni seret ditambah jomblo namah
fear,geus paling serem ningali mashar molotot mah gunung oge menta hampura di sentak ku mashar mah
joy,nuhun gusti nuhun djanur nuhun pangeran biru rangga mang ayi persib juara di gbk 
anger,corona goblog sakira na rek modaran aing podaran weh si asep podaran weh si agus pusing 
joy,meni niat pisan ieu mah nu nuju seueur kahoyong dugi kaditu kadieu ge dibebelaan asa inget basa eta pernah kitu jauh mela melu diturutkeun ari kr aya bageur na mah kacumponan nu dipikahoyong teh nya wareg nya bungah nyaah pisan pokona mah hehe
anger,anjing pisan jaket aing turun harga 
fear,di pabrik keeng kieu jaga mesin 5 posisi ku sorangan
joy,sampurasun nuhun gusti tos ngagugahkeun abdi sadayana dugikeun tiasa keneh netepkeun diri nyembah ka anjeun mugia kersa maparin kahirupan anu pinuh ku ginanjar kawilujengan umur abdi sadayana aamiin rampees dina sesa
joy,alhamdullilah air asia kapendak subhanallah nuhun gusti
anger,anjing pisan eta budak letik keneh wani ka awewe si aniing setan budak haram hungkul kesel
joy,gk tau kenapa sok bungah we mun ningali persija eleh teh
sadness,ngahuleung jol hayang ceurik teuing kunaon
sadness,muhun kang pasrah sumerah ka allah bari ku urang di ikhtiaran insya allah aya jalan sadayana dipasihan kasehatan
sadness,teukaop rek live tweet imah almarhum teu kuat nyurucud wae cipanon mang ayi urg ti lokasi sedih kunu sejen asa teu kieu2 teuing
anger,tong seuri bisi di tonjok ku aing 
joy,ninggal popotongan baragja sadaya ngiring bingah weh sayamah
anger,aing lantaran boga hate coba lamun boga batu geus dibalangkeun kana beunget sia
fear,ayeuna jadi males muka twitter teh unggal muka twitter pasti weh berita tentang corona jadi sieun sorangan weh tungtungna mah
sadness,hapunten ya alloh abdi kapaksa ku teu wasa ningal istri sareng pun anak astagpirullohaladim
joy,malem wa anang ini asa sumbringah gitu ya mau kawin besok kali ya hehe
fear,sumpah sieun dan bulu kuduk merinding
fear,cangcang geura duh talian pake rante gembok we meh leungit meuni asa hariwang pisan nyindir batur
sadness,nalangsa lebah dieu muslim kudu sabar teh
fear,aduh teteh sy mah mudik ieu sieun dicap odp
sadness,leres pisan kang orng sunda mah saromeah asa nyeredet kanu manah di sebut jabar garis keras sakelas prof otakna dangkal
sadness,sok sararedih ah menangis bari mirun seneu
joy,najan sakedeung ningali raray na oge aingah geus bungah komo dei mun sa imah
fear,muringkak di sleman bulu kuduk nempoan foto
fear,heuh tadi ngadegdeg pas nu di tangkal cau serem oge ey
anger,nyaho teu sia mun aing ambek sia ge bakal sangsar
sadness,keuclakna maseuhan pipi nyerina nurihan ati ci soca nu mawa tunggara basa tresna udar tina simpayna harita
sadness,anjing sedih pisan tablo aing tewas
anger,tungguan weh nder kamu sukses pasti hyg balik deui ke ge mun teu ngajak nikah pasti minjem duit lalaki bangsat bedul siah pisan euy
joy,ayeuna lolos alhamdulillah ge te nanaon abi bingah ninggali permainan dan semangat juang tim anu punten benten pisan sareng taun kamari
sadness,di alam baka cai soca ngeclak mun emut kana dosa rumasa raga lamokot dosa ngungudag dunya taya reureuhna kabayang kumaha engke
sadness,teukarasa mani gancang waktu teh sedih hanjelu ceurik
sadness,bari ngusapan tonggong si mamski teh teuing kunaon rarasaan teh nyaman ai diusapan ku si mamski teh nu asalna biasa wae jadi sok saredih aing ka kamar loba kenangan di kamar eta foto foto alika puisi puisi aing keur alika teu kuat aing ceurik deui di kamar
joy,muhun upami emak ngeletik sok atoh da bakal mulung galendona 
sadness,keur datang bulan katamabahan nagara maburadul atuh beuki haneueul
anger,barangsat emang sia mah garelut jeung aing deuh
sadness,padahal geus teu walakaya haben weh dihajar kumaha dek respect jol aya nu nyeletuk nya da polisi ge cape tapi nu demo na rusuh wae resiko kehed da tigas na ngamankeun mengayomi lain memukuli mun embung narima resiko kitu tong jadi polisi jadi weh tukang ngaput 
sadness,mah mamah kudu kuat mamah kudu sembuh pokokna mah mega yakin mamah karunya pan ka mega jeng ka mimiy hayu mamah gugah arurang masih butuh mamah
joy,di ujung ketemu beneran dong ama mantan walikota bandung dan sekarang jadi gubernur jabar kang ridwan kamil hatur nuhun atas waktunya semoga berkesan liburannya timur pulau jawa
anger,sia anjing abu janda setan modar sia
joy,ya allah gusti aya we pikaserieun teh
joy,tos cekap bagja boga boga baturan siga maraneh ge teu menta nu lewih deui sahabat mh lewih ti sagala2na
anger,sing maca kana kaayaan atuh kehed 
anger,goblog awewe teh bisaan ngelakna ih anjing ijid demi allah ges aya bukti oge angger we teu ngaku keneh
fear,asli siah urang mah teu wani nanya
joy,teu kuat nyeuri kulit beuteung babarakatakan mana keneh aing di tempat gawe
joy,lain nyerengeh pada seuri ngabarakatak komo si mang oleh jeung mang boby mah
joy,alhdllh di tahun ayeuna 2014 senang bahagia campur aduk nuhun gusti nuhun sayang
sadness,gusti sim kuring gaduh kawasa nanaon anu dipikahoyong ku gusti kuring tiasa ngahindar gusti kuring sumerah ka anjeun
joy,di imah alhamdulillah sabenerna diluar dugaan edukasi tentang wabah covid 19 ternyata nepi ka pelosok matak teu aneh di masyarakat urang loba nu kabangun kasadaran na nerapkeun pola hirup sehat jeung mariilih cicing jadi lain pedah kasieunan sih
fear,tarawih pertama biasa padesek desek sekarang palaur juga mau ke masjid
joy,ningali budak leutik 2an cewe cowo di stopan mawa ukulele dago dukomsel digeroan ku pengendara roda 2 dibere amplop bungah na nepi loncat loncat nuhun cirambay
joy,ka bandung bingah ninggal bajaj di jakarta aya sticker pikiran rakyat jadi geura uwih
anger,naon isuk keneh atuh anjng naon geus nyiar pinapsueun wae
anger,loba cing cong miang susi sia china babi komunis anjink di die ngaraja sia teh ke di akherat alloh anu ngabalesna oge negara sia keturunan sia kena virus paraeh tinggal sia tunggu babales ti alloh tiada tuhan selain alloh di dunia
fear,bakat ku sieun ditilang ieu teh lurd
fear,asa melang asa nineung asa puguh karasana kabeulit kunu ngajirim seseblakan ngarasakeun kareuwas
sadness,teu wasa ninggal berita ninggal twiter ninggal ru all about banjir dipasihan kasabaran sareng katabahan kanggo sadayana
fear,heuh rada ngadegdeg pas nu di tangkal cau tadi serem oge ey
fear,plis euy pasteur asa ngareri kieu asa hariwang balik jambaraha ge
sadness,sarap sia goblog lain nga jedog di imah malah nararongki rujit aing nempona ge di bejaan alus malah nya kumaha aing atuh neng hirup hirup aing enyaa a hidup sia tapi mun sia maot gara gara korona ge kabeh ripuh kehed meuni teu ngarti ngarti sedih aing
joy,hoyong atuh resep abi mah di baledogan teh resep pisan sok atoh da 
anger,aslina maruk na beragama teu make akal kitu garelo jelema teh wa lieur bieu urg nempo aya jenazah corona dek dikurebkeun warga2 pada nempoan ngarumpul coba mun kieu wae man indonesia jd pang rangsakna ku corona
joy,alhamdulillah sabenerna diluar dugaan edukasi tentang wabah covid 19 ternyata geus nepi ka pelosok matak aneh di masyarakat urang loba nu geus kabangun kasadaran na nerapkeun pola hirup sehat jeung mariilih cicing jadi lain pedah kasieunan sih di imah
joy,mulai ajig pikaserieun wae ieu
sadness,ning kie nya sing di kiatken manah abdi mugia alloh masihan jalan kango diri anu kr ngoceak ngomean kaperih 
joy,bagja ninggali budak tumbuh sehat tjeria ubar cape ubar nu mata sumanget neang kifayah
anger,teu gaduh polo mah mung babangus wungkul cenah ustadz 
sadness,tadi pas k r ngiuhan kota aya tkang barangmaen sarua ker ngiuhan meuni asa karunya ku aku teh diber weh dua rebu bari ditanya pak ari sadinteun na kenging sabaraha pekteh sapoe na menang 325000 jol jadi malik karunya kadiri sorangan euy di halte beus
joy,yawlaa semoga tidak salah ambil keputusan nonton film ini dari awal geus seuseurian da urang mah komo part eta
sadness,nyeredet kana hate euy sekilas ningali sahar 
joy,haduh emak mani regreg srg bingah ningal anak anak emak sarumanget baringah semangat tadarus ngahafal rajin
anger,kadieu ku aing anying meni bleber congorna bgst
anger,tong melak cangkeng wae maneh teh teu sopan
fear,justru asa melang asa tiiseun kieu komsriat
anger,abeh ge teu nyangka harapan indah sesaat musnah ku rasa arogan hakan goblog tah gengsi 
anger,bismillah gua tu heran yang fakboi temen yang di katain gua si bangsad goblog mun teu terima sok atuh ribut jeung aing tolol astagfirullah istifar 
sadness,ninggali mamah uwih dagang ti pasar ujungberung meni sedih naha make jeung dtutup sgala tinggali supermarket meni buka dugi k wengi d lebet supermarket oge teu sadayana sembako hampura curhat da abi mh jalmi bodo jd bisana ukur ambeuk kbegung hungkul
fear,seandaina pindah warga negara jiga pindah kontrakan aslina da mending kaluar tidieu geus sarieun ningali ka ayaan na 
sadness,kadang mah ngerasa teu kuat gusti ayeuna pasrah we lah kumaha ge aya nu ngatur mugia tiasa iklas we mah
sadness,nyeri hate kabeh nyudutkeun persib kabeh ngahina bobotoh ya allah kieu geningan rasana di puncak nyeri hate the padahal persib keur aya klasemen
fear,pamajikan dokter ge anyeng meni muringkak bulu punduk pok na teh sing rido nya a mun aya nanaon sareng abi ieu tugas dan sumpah abi sbg dokter ya alloh sing di saralametkeun sadayana 
anger,beunget sia rata seseuh tah beunget anj nk bencong da sia mah keparat luh dasar badjingan sia
fear,hampuraaa teh tong galak galak teuing ni sararieun
anger,si koplok loba bacot anying sia kunaon ai sia eweuh gawe eweuh waktu aing ngawaro sia hoream teuing aing ngadatangan mane indit lah goblog aing rujit
sadness,nalangsa abdi nalangsa kumaha
joy,ternyata aku masih berharap euy sama kamu apalagi dikasih harapan gini mah makin atoh hahaha
joy,punten riya dan sombong euy atuh da bingah sarasa mimpi punten aduh atuh da bingah pisannnnnn
sadness,mun ker peting hiji komando mah moal kieu jadina asa nyeredet kanu peuting manah euy mun inget kanu kajadian nu
joy,nikmat pisan sareung raos nya teteh laukna tutut tur keong imut waktos aralit kapungkur 
fear,tos di bumi meuni asa hariwang uwih we heula atuh 
joy,aduh alhamdulillah seuri ngakak ieu mah hahahahaha
fear,hujan gede cuma berduaan sama mikha di rumah meuni keeung kieu atuhlahhhh 
anger,lukdan lokdon lukdan lokdon panon sia hiji ditengah anjing masa aing rek meuli udud 1 2 bgkus kawarung di tewak aparat ngke atuh alfa indo euweh ydud ketengan nyetok duitna dieu atuh aranjing 
fear,bueuk mah sorana ituloh d weuk weuk kan mun ker didapur teh langsung lumpat ngadenge sora etateh
anger,sangeunahna kieu nu ngomong ari jelema beunghar mah gobpis goblog
fear,tuh nya padahal saya mah aslina asa melang tur hariwang lain nanaon soalna didinya parantos didapuk janten duta rekonsiliasi antara 01 02 lamun ujug2 kainjek vaksin palsu nu lain jadi sarieun bade rekonsiliasi pajar duta na oge diracun vaksin palsu
joy,bagja ninggali budak tumbuh tjeria ubar cape ubar nu mata sumanget neang kifayah
fear,plin sarieun abi nonton rusuhna weh disisi
anger,maneh ngomong sabaraha ratus oge aing mah paduli heeh paduli bagong
anger,sok gera datang atuh teu kuat hayang neungeul
sadness,ya allah batin mah ngoceak nanging walakaya
joy,alhamdulillah bagja pisan tiasa ngabantosan rekan2 nu acan gaduh damel mudah2an sagala rupi amal ibadah na janten berkah amin
anger,modar siah the jak modar goblok datang ka kandang maung modar siah
sadness,titi mangsa tina rumasa kedal hate pangjajap rasa kedal ati nyuuh ka gusti sjud raga ka nu kwasa dunya caang lir ibarat berang rasa hariwang kasorang waruga taya nu boga tulang iga taya pangawasa iwal ti gusti nu maha suci simkuring seja sumerah diri
anger,sia ngusik si dhini berarti sia ngusik aing sok lah dur der jeung aing aing ateul pereup yeuh mumpung sia budak 48 leyek ku aing
joy,ajig ieu twitwar na ngeunah seuri kieu wkwkwk
joy,savage anjir si emang that sanajan urang kota ngabubur duit mah ari eweuh beulieun rek meuli naon moal ngeunah duit nu dilebokna meni ngeunah seuri aslina geh
fear,tumben wayah kieu ti sindanglaya macet ternyata di 24 banjir pareum listrik oge sarieun kieu
sadness,ngawadul jeung adi ngabahas man hanna nu rek lulus smp r k lanjut kamana jeung hayang ka hareupna kumaha ningali r spon man hna kuat teu wasa sabab manehna geus gede deui wa jeung urang can jadi conto anu bener bieu
fear,aing lamun ningali si aldi sok hayang lumpat asa ningali jurig weh sieun
fear,ngungsi kamana awokok heeh ih corona jd sararieun
anger,sia teu boga hate sugan sia ngomong naon ker baheula kehed beunget sia anjng emang paeh weh sia
joy,dan ga sia2 nunggu risma dateng dri blitar dibawain cilok bandung meuni bungah pisaaan
fear,sok muringkak bulu punduk ari ngadenge sora karinding teh
joy,allhamdulillah jalmi anu sasarengan sareng abi ageung kasabaran seer ayeuna ngelehan hnt egois hnt ngutamakeun hobby hnt cuek ajeuna bisa sabar tina sagala tingkah abi anu awon sarrng bbudakeun
anger,pageto teuing jelema teh lieur kieu wa gara2 persekutuan corona teuing isuk lamun manehna masih keneh aya obroleun tsunami2 deui urg gedig weh tuman
sadness,asli wa aing mah dibahas mah kalah sok piaralen nyurucud cai panon weh hayang leweh panto kamar weh rajet deui jadi tumbal
fear,sok muringkak jararadi bulu punuk ngadenge ngarana sieun knh ku maneh jng ku jurig
anger,meni rariweuh geuningan cik caricing sateh bisi di galey dina oli urut
