Emotion,Text
sadness,ngawadul jeung adi ngabahas man hanna nu rek lulus smp r k lanjut kamana jeung hayang ka hareupna kumaha ningali r spon man hna kuat teu wasa sabab manehna geus gede deui wa jeung urang can jadi conto anu bener
fear,mah ayeuna sarieun pisan rek nakal teh tos cararaket nu ghoibna
anger,piceun lah striker teh maen teh siga nu teu niat ongkoh king ai cokor kokoredeun pinafsueun kehed
fear,keur usum kieu mah batuk saetik di pariksa sieun di sangka corona mit amit ajig
sadness,asa nyeredet kanu manah lamun aya nu ngomongkeun cinta teh kunaon
fear,pajauh sakedung ge asa melang hariwang wayahna kasep geulis anak ayah demi tugas ku ayah dikantun heula 
fear,anjrit sarap ki embung ieu weh geus ngadegdeg aing
anger,asa kudu tunggal teunggeul gobelog da sarua kabeh oge jengkel ninggali persib maen siga kitu patut
sadness,miris ya allah karunya tepi diantep kitu rasa simpati jadi terbatas corona
joy,alhamdulillah sabenerna diluar dugaan edukasi tentang wabah covid 19 ternyata nepi ka pelosok matak teu aneh di masyarakat urang loba nu kabangun kasadaran na nerapkeun pola hirup sehat jeung mariilih cicing di imah jadi lain pedah kasieunan sih
anger,anjing pisan jaket aing turun harga 
sadness,dina jojodog diuk sambil moyan karasa cai soca nyurucud ras ingeut ka manehna kopi jeung garpit nu jadi saksi geuning jeung geuning
sadness,asa saredih ningali jero dompet mun tanggal sakieu teh meni eweuh batur na isi na teh
anger,corona sakira na rek modaran aing podaran weh si asep podaran weh si agus pusing
fear,bisa ngomong da sieun jadi weh ngabirigidig
sadness,dosa kakabogoh langsung menta hampura tapi dosa ka indung duh mah ngke menta hampura na lebaran ieu dosa iya dosaa 
fear,subuh tadi saya lewat jalan tol meuni keeung anu dari cileunyi mata kucing lampu eweuh
sadness,ieu kuring naha janten hanjelu gara gara di chelsea teu aya fabregas deui
sadness,ngan bisa urang mah tawakal pasrahkeun kabeh ka gusti allah
anger,tampiling padahal mah ku si emakna
anger,bosen hirup jigana mh loba gaya jeung teu di helm deui teu boga pikiran jiga bangsat nu di udag wae mun cilaka mh nu hariwang kolotna ngabiayaan rek kamana atuh boss cik atuh mikir da lain budak
fear,sapoe ayeuna berita ting galaletuk nu maot kareueung
joy,kuat nyakakak ieu mh astagfirullah
sadness,ajig ieu ci panon teu ereun2 ngurucud
joy,makan siang di warung sunda kuningan ditembak ku kopi hideung panas duh asa bagja bebas asa merdeka
fear,asa jd takut kieu tkut di maling in
sadness,ku tirisna oge tos teu walakaya teu di lembur sareng banjirna ka dulur ka baraya di kota hujan iyeu janten berkah panyinglar si korona
sadness,basa kr elehan musim kamari t ti pulau jawa matak jadi haneueul da uyuhan atuh maena ge loba di licikan bari di usir
fear,kamari sok sieun dosa di itung da asa teu di itung da panasaran ajig
joy,di warung sunda kuningan makan siang ditembak ku kopi hideung panas duh asa bagja pisan bebas asa merdeka
sadness,deudeuh teuing jang sing seueur nu meser na nya jang di dua keun sing ka capai cita2 na amin
fear,ya alloh empah kamana heula sih wayah kieu can uih meni melang jeung hariwang eneng 
joy,min kuat ah lawakklubtrans7 komo cak lontong mah babarakatakan puguh hahaha gokill kapten d
anger,eh anying sia goblog pagi performa rusak anying gusti allah nu agung tah tingali sia anying goblog bagong jadi 66 dari 100 ah si tolol kalakuan siga dajjal apal aing ge sia loba duid tapi tong kitu anying kehed lah
anger,naon si anjing sia bacot lah maneh weh mikir sorangan kudu kumaha eta
anger,sok sadar diri ka beunget jeng penampilan sia siga kampungan parcuma pura pura jelema benghar geh beunget sia 
joy,alhamdulillah natal tahun ini kumpul sama umi abi aa teteh sadayana nuhun gusti
sadness,karunya ayena mah terlunta lunta dibandung atau luntang lantung
joy,balik di jalak ngebut da hayang ngompol keneh eweh cai pisan manya kudu ngalaman make akua ath wow piraku makasih mantan kamu terbaik membuat aku babarakatakan di jalan karna kalakuan umak
joy,alhamulilah nambah ilmu dan keyakinan untuk meningkatkan iman kita dlm menghadapi musibah ini
joy,makasih banyak foto sudjiwo tedjo yg diedit jadi jack sparrow alhamdulillah seuri deui urang
anger,yeeeh nya budak teh teu beunang pisan dibejaan geus heup heula geura uulinan na peperiheun engke kalah gering sateh nu balangsak teh lain sia hungkul bebel nepaan batur engke nyusahkeun sarerea kehed teh 
sadness,matak sakapeung mh sok kaduhung aing te naha bet biasa nyaho kie mh aing moal ngucapkeun siga biasana asa nyeri hate wh kitu hehe mnding lah mun jelas sababna aing boga salah iemh ojol2 puguh
joy,tiap dia nelponin aku ke esia yg 375ribu aku sok babarakatakan ngadenge si eta ngocoblak itu yang namanya di sekil huft malem
anger,naha hese dibejaan teh makin geuleuh aja aing mah singsusingdem nage dirumahaja sygku ngajedog anying ngajedog
anger,sekarang dah puasa full di rumah tapi sedih anying da gara2 si corona romadon teh sepi we ah teu kieu romadon di imah kahayang aing mah siateh corona goblog
joy,alhamdulillah pisan gusti akhir tahun teh berkah
anger,halah spontanitas tangkurak sia memangnya kr ngetik teu kadeuleu ku panon sia anyeeeng kolot ontohod
anger,aingmah napsu euyyy ka jelema belet salah grup batur update dan sharing langkah menghadapi pandemic iyeu angger weh pembahasan teh fans 01 vs fans 02 hayang neunggeul mun deukeut mah sia belegug
anger,waspada kudu ngan tong sieun goblog geura lebar imun sia dipake kakuras ku loba kasieun mah hepan we enjoy tapi tetep siaga waspada tong loba lalajo pidio ganas corona jeung lobakeun ngadoa
fear,asa hariwang nempo alam dunya kiwari geus hujan deui wae di bandung sebagian wilayah nju ka banjiran deuih
sadness,mana teuing eta indungna keur mah ditaranjangan ditalian geus atuh anying karunya anak batur meuni pereum benta kitu eta 
joy,haturnuhun ang tos merhatoskeun deui para distrik mugia taun ieu karompak deui sareng te silih pagedrug antar distrik
joy,sampurasun nuhun gusti ngagugahkeun abdi sadayana dugikeun tiasa keneh netepkeun diri nyembah ka anjeun mugia dina sesa kersa maparin kahirupan anu pinuh ku ginanjar kawilujengan umur abdi sadayana aamiin rampees
joy,nembe nuhun ieu abi nyakakak lami diperantauan mendak deui basa ieu
anger,mun kapangih blo urg ikut nya hayang neungeul urg the lila ey teu neungeul jelema
anger,ngajedog diimah ulah kaluar sia beunget
joy,alhamdulillah meuni nikmat pulang2 dikasih makanan desa
joy,asa raos lalampah liverpool kengeng mah nuhun gusti dinteun iyeu meni bungah pisan teu saat2 kabungah abi nuhun liverpool
fear,teu sempet foto sieun langsunh uih wae ya ampun teu balanja ge asa karek masuk jiga nu uang kaget langsung kaluar deui ngeri ath
fear,aslina serem ningali dibacok na ge 
anger,pelatih wani manajemen ngejedog keneh laina di dukung apa kummaha asa meningan si gw meski goblog tapi maneh na bebeakan ngabela tim jeung supporter na didieu mah kalem weh ngudud bari cing calengir bagong di caffe
sadness,meuni sedih pisan euy kang macana
fear,jadi males ayeuna muka twitter teh unggal muka twitter pasti weh berita tentang corona terus jadi sieun sorangan weh tungtungna mah
anger,ah tah aing kurus tahh org bilang gendut bodo amat da aing ngerasanya kurus muak aing liat tl isinya cewe kurus badan tulang semua bilang aku gendut ya gendut gendut huntu sia tah gendut caper pisan si
sadness,bulan puasa pejuang nyari tempat magang ke jakarta tapi di phpin wkwk pulang teu boga duit waraas saredih
sadness,bieu ngawadul jeung adi ngabahas man hanna nu rek lulus smp r k lanjut kamana jeung hayang ka hareupna kumaha ningali r spon man hna kuat wasa sabab manehna geus gede deui wa jeung urang can jadi conto anu bener
fear,ajig doa na ni serem kieu serem ti budak dejek nu babaledogan kamari
joy,naon deui gusti allah mah oge dua bulan nembe damel di jakarta atos dipangmasihan keun jalan ngarah tiasa uih ka garut langkung gampil hatur nuhun gusti
sadness,ku tirisna oge teu walakaya mugia teu sareng banjirna ka dulur di lembur ka baraya di kota mugia hujan iyeu janten berkah panyinglar si korona
anger,anjing wasitna bagong nga bela mu tai dasar tah wasit teh hayang di kulup diga hui boled
anger,isuk jelema teh lieur kieu wa gara2 persekutuan corona pageto lamun manehna masih keneh aya obroleun tsunami2 deui urg gedig weh tuman
sadness,ketika aya nu teu jadi pengukuhan teh asa kumaha karunya ka perjuangan na pas pelatihan nu bebeakan di hantem tiditu tidieu tengah peuting 
sadness,sok nyurucud cai mata pami nonton jika aku menjadi mah wios ah nangis ge da manusiawi
anger,duh anying otak teh dipake saetik atuh meni goblok gasuka
anger,cik euy jaga babangus sia teh
sadness,mung ukur ka gusti sim abdi sumerah sareng mung ka gusti abdi seja pasrah
fear,duh jadi sarieun kieu aa sieun ke nudipilih pekteh akhlaqna janten robih sabab nudipilihteh jalmi sok inggis keuna ku owah gingsir
joy,kami fokeus di afc hahahahaha ngeunah seuri kieu padahal geus make jurus undur2 dan jurus nyali nyali alasan 
sadness,jomblo pikawatireun teu tega aing ngabahas na ge 
fear,di halteu punten cek seeur nu dagang pas ngabuburit sanesna kukumaha tapi hariwang iyeu mah
sadness,kadang mah ngerasa tos teu kuat gusti pasrah we lah kumaha ge tos aya nu ngatur mugia tiasa iklas we ayeuna mah 
fear,ini kenapa meni gak ada kabar banget ihhh asa melang pisan ini iiih teh
anger,sia pikir sia seganteng apa si bagong
anger,nya meunggeus atuh goblog kumaha sia wae lah paduli bagong
anger,rek di ajar sombong ayenamah paduli bagong tea lah batur ge kitu ka aing
anger,balikinlah duitnya bangsat emangni urang denger dia kerja dan dia lagi ada masalah pas ditanya ke keluarganya ga kerja anjir aing kesel pisan sumpah
fear,wew meni sarieun di jalan paamprok sareng budak gengster seeur aya mereun kanu 200 motor mah
fear,muriang embung ka dokter da sieun d sangka covid nini maot bisa ngalayad da lockdown inalillahi dunia jadi kieu
fear,loba anu labuh keeng kieu
joy,nuhun gusti dipaparin nikmat nu sakieu endahna ngeunah seuri
joy,yawlaa semoga tidak salah ambil keputusan nonton film ini dari awal geus seuseurian da urang mah komo part eta
joy,alhamdulillah gusti akhir tahun teh berkah
fear,duhh jadi sarieun kieu uy t aya hal nu dipakarepkn kang duhhh
joy,ngupingkeun lagu cianjuran di tamih kopi hideung sareung hujan cuk clak nikmat kieu gusti
sadness,asa karunya kanu imahna dibojong soang usum halodo jadi badai pasair ku agungpodomoro usum hujan banjir
sadness,nepi mun inget indung kadang sok cirambay sorangan teu pupuguh kaduhung emg sok paneuri ayeuna matak nu boga kneh indung heg sing enya2 birul walidhain
fear,asa ayeuna keueung nyinghareupeun kahirupan dunya karasa geunyleung
anger,beunget sia ngeleg euy jdi hayang mere sambel na beunget sia trus sanguan 
anger,si koplok loba bacot anying sia kunaon ai sia eweuh gawe eweuh waktu aing ngawaro sia hoream teuing aing ngadatangan mane indit lah goblog aing rujit
sadness,ieu kuring naha janten hanjelu gara gara di chelsea parantos teu aya fabregas deui
anger,ampun sia meni teu bisa di keheula keheula aing ka imah teh lain rek ngababu ataupun rek holiday isuk isuk tai teh aing aya tugas dititahan di keheula keheula gandeng sungut teh rawing anying
sadness,jam sakieu sepi pisan karasa pisan nyeletit nya kana dada nyai akan teu wasa ninggal keun nyai tapi kedah kumaha akang kedah ngumbara 
joy,berkah dari corona udara kotor jadi kurang pisan alhamdulillah menghirup udara lihat si adit alus si eta dina transport jadi ka lingkungan emang berkesinambungan edannnn urang senang juga sebagai pesepeda abal abal yang mencari konten sg eh banyak yang ngikut sukakkkk
anger,orang mana sih anying sampis pisan bunuh ae lah bunuh
anger,ijid anjing boga babaturan kitu sosoan anjing 
fear,keueung nya teh angot pami teu aya nu ibadah haji mah naudzubillah himindhalik hiii
joy,assalamuallaikum sampurasun alhamdulillah meuni bingah ningal kang dedi turun langsung ngarajia miras 
sadness,muhun kang pasrah sumerah ka allah bari ku urang di ikhtiaran insya allah aya jalan mugia sadayana dipasihan kasehatan
joy,di jakarta kirang naon deui gusti allah mah oge dua bulan damel atos dipangmasihan keun jalan ngarah tiasa uih ka garut langkung gampil hatur nuhun gusti
sadness,jam sakieu sepi pisan karasa pisan nyeletit nya kana dada nyai akan wasa ninggal keun nyai tapi kedah kumaha akang kedah ngumbara
fear,duh gusti asa hariwang teu tiasa na2on mung saukur cicing asa ku nyeriiiii 
joy,alhamdulillah katampi kang haji
joy,ya allah nyeri kulit beuteung lah anjir seuseurian wa waduh parah euyy
anger,hirup tong sok balaga bisi akhirna di pikangewa kaduhung akhirna menta hampura di tarima sakitu
fear,sok muringkak jararadi bulu punuk ngadenge ngarana oge sieun knh ku maneh jng ku jurig oge
sadness,4 taun sakola na karunya mah kaka kelas urang 7 taun sakola didinya hungkul watir 
sadness,ku tirisna oge tos walakaya mugia sareng banjirna ka dulur di lembur ka baraya di kota mugia hujan iyeu janten berkah panyinglar si korona
anger,lamun deuk ngruskeun hirup aing ulah kagok sakalian atuh biayaan aing bere pasilitas ulah ngan saukur ngahuntu hungkul goblog 
anger,sianying tolol bat kalakuan sia
joy,mulai ajig pikaserieun ieu
anger,maksud aing te da ikuti prosedurnya aja gitu anjirrrrr ih anying bodat sebel pisan
fear,tutup weh lah pak karagok palaur pisan soalna ieu mah
sadness,sakur tiasa ngeclakeun cai soca teu tiasa nanaon deui pasrah weh kanu diluhur 
joy,meuni asa bingah ningal sadayana meuni guyub mamah ririn iki p iki spot sohib teh yan bhasajan dzannur dhemasda 
fear,aing tadi dihareup tablo eta aing lumpat gara2 ngadenge sirine
fear,seandaina pindah warga negara jiga pindah kontrakan aslina da mending kaluar tidieu geus sarieun ningali ka ayaan na 
sadness,dina jojodog diuk sambil moyan teu karasa cai soca nyurucud ras ingeut ka manehna kopi jeung garpit nu jadi saksi geuning jeung geuning
sadness,hate peurih asa raheut di turih manah asa ka panah urg ingkah lain nyaah hampura geus cape euy
fear,ya emang bahaya jas hujan kek gitu teh tapi da manfaat mun aing mawa batur tapi da sieun ti karijet jaba sok gegeleberan 
sadness,di kosan sasapoe dahar sangu sieun aya korona yawloooo peurih amat iyeu hirup
fear,dingin tapi semu ngadegdeg sieun tisoledat tea 
fear,hujana meuni gede tur palaur ku petir deui mudah2an citarum luber
sadness,jam sakieu udud jeung cikopi bari ngahuleng jero sok asa jauh panineungan inget ras inget ka kolot ka dulur2 inget ka babaturan2 jol curambay mata aya nu ngalaman siga kieu ka lembur
sadness,kabiasaan persib dicurangin teh da hate nyeri cai soca kabendung badan enak ulah damang ya allah ngan gara2 wasit
joy,ternyata aku masih berharap euy sama kamu apalagi dikasih harapan gini mah makin atoh hahaha
sadness,baheula sedih anjir hyg nu kieu neupi ceurik uo teu dipangmeulikeun wae ku s momsky
fear,salah ngomong dikit di spill asa kumaha kitu sarieun euy lila2 mah niat senang2 makin jangarrr
fear,gandeng eta sora lagu keeng kieu atu lah
anger,sia goblog bondon teh naon ajig
joy,aslina ngeunah seuri ieu ge nuhun hiburan tadi na mah deuk ngajak ribut tatangga teu jadi gara2 geus ngeunah seuri
sadness,pasrah waelah da teu tiasa di kukumahakeun
anger,sia ngomongna rek milih aing mun sia putus jeung nu buktina sia kanu sejen koplok lah ngahuntu hungkul siamah ayeuna
fear,ga kebayang kl jadi penduduk di sekitar gunung merapi pasti riweuh sieun ngaderegdeg kl mau aman hrs ngungsi minimal 20 km
fear,saya pernah kaditu pas backpacker nyalira tujuanna bade ka tebing breksi tapi pas jalan uih ka kota deui ningali plang candi ratu boko dongkap sonten emang muringkak sih ka jogja
joy,aku ga jerawatan twinsss mangkanya ini teh meuni bungah gembira riaa
sadness,masjid di lembur kolot meuni sedih ningalna sugan bisa di omean daerah cipanas
sadness,asa saredih ningali persib perlahan ditinggalkeun ku pamaen andelanna 
anger,si abu janda teh ngaku na org bdg nya sumpah ajig asa ninggali si eta di parpatan jamika porengesna sarua make mobil taft hejo tai kuda hayang nyiduhan tapi sieun lain si eta
anger,teu ka deuleu mang dadang atuh ah sok pinapsueun keur teu ka bagi teh 
anger,goblog pisan saban taun nu dimasalahkeun ngan ngucapkeun natal hungkul masia rek ngucapkeun rek nteu ge bacot pisan
joy,alhamdulillah gusti meuni nikmat kieu ieu liwetna hatur nuhun barudak liwet sareng peteuy bakarna katampi
anger,bagong kunaon kudu aya tiktok sih geus pusing anjing ngadengekeun alo nyetel musik tiktok goblog ngeunah ngajedog bangsat
sadness,muhun kang hanjelu maungna bubuk 
fear,kok jadi serem kieu nya om lur
anger,sia deuk ngaduruk bendera tauhid kadieu datang siah loba di dieu cobaan ku sia duruk dihareupeun jelema loba pengungsi anu keur kamusibahan mun sia modar saharita keneh berarti sia jago ditungguan siah ku di palu
fear,ngaderegdeg kanyahoan nyontek pas uas
fear,sok muringkak bulu punduk ari ngadenge sora karinding teh
anger,naha iye budak gelo pisan bangsat goblog maneh 
fear,sereum atuh siliwangi mah kajeun ngalewat jalak jam sakieu keur itu teu pati keeung siliwangi mah eduns
joy,bingah ninggal bajaj aya sticker pikiran rakyat jadi geura uwih ka bandung di jakarta
joy,kapungkur ti abdi resep acara iye like na mana orang sunda
sadness,urang ges kaleungitan dika nu baheula nu resep ka agama sok cicing di musholah ngeclak ci panon kana sajadah
fear,ngeri kitu om mudah2 an diurang mah nepi kitu
joy,enya komo ningali kamu akumah bungah pisan sing demi 
anger,sia boga hate sugan sia ngomong naon wae ker baheula kehed beunget sia anjng emang paeh weh sia
sadness,sedihhh dagang sepii
sadness,pami di carios keun mah sedih ningali persib
anger,duh anying otak teh dipake saetik atuh meni goblok pisan gasuka
fear,subuh saya lewat jalan tol meuni keeung anu dari cileunyi mata kucing kurang lampu eweuh tadi
anger,mikir atuh anjing jang bobotoh luar bandung oge jauh jauh hyg nyaksikeun macth ieuge malah ku brdk bandung di batikeunna sakitu mun saria away di bandung menta tulung tiketna kasaha urg selaku bobotoh nu ge kecewa kieumah anjeng pisan lah
joy,kirang naon deui gusti allah mah nembe dua bulan damel di jakarta atos dipangmasihan keun jalan ngarah tiasa uih ka garut langkung gampil hatur nuhun gusti
sadness,di malang tong sare atuh coba weh yoga atawa zumba di imah sugan weh cageur duh balik ka imah enak euy urang ka lockdown meuni sedih didieu
joy,meuni bahagia kieu ih aing bahagia bahagia na ih
anger,ulah sok loba nada congor anu gampang diucapkeun ku babangus salira lobakeun mah laku lampah anu hade jang ka diri oge mikir mj ka batur
sadness,uwow hayang ceurik ajiggggg perjuangan aing jang awewe sia sia nyeri hate pisan
anger,kudu loba ngahuntu tingali hasilna weh gblk
joy,sok reseup ari atos nimbrung di group sunda teh asa loba dulur ehehe hapunteun aya cariosan abi anu kirang sapagodos sareng baraya sunda maklum abi mah urang sunda sok reusep banyol
joy,mnh lg berbunga bunga yaaa den asa sumbringah hahahaha
sadness,sok sedih ari nga dangu sora takbir teh sok inget ka kolot sadarkolot ayena geus eweuh asa kumaha mah ieu hate teh gusti 
fear,yaa allah meuni serem gitu 
joy,alhamdulillah meni nikmat ningan hirup teh edisi 234 abc kopsus ngupingkeun hariring balong d di sisi
sadness,sugaaan km jeung saha melakukannyah jims tong babay2 an atuh lah menii saredih
sadness,karasa raheut manah pas anjeun indit ngalengkah bahela bungah bga carita endah ayena lengit nyesakeun ka gundah kudu tabah najan mbung pisah
joy,ngomong2 ppu na ayeuna ageung pisan skor na ih meuni bungah
anger,kehed sia anying teu daek cicing
joy,hatur nuhun gusti nu tos seueur maparin kurnia dina hirup abdi namung hapunten abdi sok sering ngarasula 
sadness,ukur ngembeng cai soca wasa wakca balaka harita pisah jeung ema nu mulang ka alam baka
joy,di tempat gawe kuat nyeuri kulit beuteung babarakatakan mana keneh aing
sadness,naha sarua pisaannnn gustii sok saredih
fear,mimin nya mantap y pool min sejarah nya muringkak muringkak 
fear,nyeuri beteung jam sakieu tapi sieun ka jamban
fear,haduhh sarieun kieu ningali jarum suntik pisau bedah 
